Correction,GroundTruth,ORC
epa,epa,epa
that,that,that
the,the,the
deadllne,deadline,deadllne
was,was,was
unreasonable,unreasonable,unreasonable
cma,cma,cm
member,member,member
companles,companies,companles
participated,participated,partlclpated
n,in,n
the,the,the
effort,effort,effort
by,by,by
contactlng,contacting,contactlng
epa,epa,epa
and,and,and
documentlng,documenting,documentlng
the,the,the
practical,practical,practlcal
problems,problems,problems
posed,posed,posed
by,by,by
page,page,page
 , , 
cma,cma,cma
the,the,the
deadllne,deadline,deadllne
on,on,on
august,august,august
epa,epa,epa
agreed,agreed,agreed
with,with,hlth
our,our,our
posltlon,position,posltlon
changlng,changing,changlng
the,the,the
defense,defense,defense
councll,council,councll
mca,nrdc,mum
has,has,has
now,now,now
lled,filed,lled
m,suit,m
challenglng,challenging,challenglng
the,the,the
deadllne,deadline,deadllne
substantlally,substantially,substantlally
upon,upon,upon
concerns,concerns,concerns
brought,brought,brought
to,to,to
epas,epas,epas
attentlon,attention,attentlon
by,by,by
ndustry,industry,ndustry
cma,cma,cm
and,and,and
the,the,the
other,other,other
trade,trade,trade
assoclatlons,associations,assoclatlons
that,that,that
have,have,have
been,been,been
involved,involved,nvolved
cma,with,mm
the,the,the
stormwater,stormwater,stormwater
issue,issue,lssue
have,have,have
declded,decided,declded
m,to,m
ntervene,intervene,ntervene
n,in,n
must,nrdcs,mums
cass,case,cass
n,in,n
support,support,support
of,of,of
epa,epa,epa
the,we,he
will,will,will
jolntly,jointly,jolntly
present,present,present
the,the,the
argument,argument,argument
that,that,that
epa,epa,epa
was,was,was
justified,justified,justlfled
n,in,n
extendlng,extending,extendlng
the,the,the
deadllne,deadline,deadllne
n,in,n
order,order,order
to,to,to
remedy,remedy,remedy
serlous,serious,serlous
practical,practical,practlcal
defects,defects,defects
n,in,n
the,the,the
orlglnal,original,orlglnal
stormwater,stormwater,stormwater
regulatlons,regulations,regulatlons
pestlcldes,pesticides,pestlcldes
effluent,effluent,effluent
guldellnes,guidelines,guldellnes
litigation,litigation,litigation
on,on,on
october,october,october
epa,epa,epa
issued,issued,lssued
effluent,effluent,effluent
guldellnes,guidelines,guldellnes
and,and,and
standards,standards,standards
under,under,under
the,the,the
clean,clean,clean
water,water,water
act,act,act
for,for,for
the,the,the
pestlcldes,pesticides,pestlcldes
ndustry,industry,ndustry
because,because,because
of,of,of
the,the,the
strong,strong,strong
connectlons,connections,connectlons
between,between,between
the,the,the
pestlcldes,pesticides,pestlcldes
and,and,and
organic,organic,organlc
chemicals,chemicals,chemlcals
ndustres,industries,ndustres
several,several,several
generic,generic,generlc
regulatory,regulatory,regulatory
issues,issues,lssues
addressed,addressed,addressed
n,in,n
the,the,the
pestleldes,pesticides,pestleldes
rules,rules,rules
are,are,are
also,also,also
mportant,important,mportant
n,in,n
the,the,the
ongolng,ongoing,ongolng
rulemaking,rulemaking,rulemaklng
for,for,for
the,the,the
organic,organic,organlc
chemicals,chemicals,chemlcals
plastlcs,plastics,plastlcs
and,and,and
synthetic,synthetic,synthetlc
fibers,fibers,flbers
ocpsf,ocpsf,ocpsfy
ndustry,industry,ndustry
aim,cma,am
has,has,has
therefore,therefore,therefore
declded,decided,declded
m,to,m
partlclpate,participate,partlclpate
n,in,n
lltlgatlon,litigation,lltlgatlon
on,on,on
the,the,the
pesticide,pesticide,pestlclde
regulatlons,regulations,regulatlons
since,since,since
any,any,any
judlclal,judicial,judlclal
declslon,decision,declslon
on,on,on
those,those,those
questions,questions,questlons
n,in,n
the,the,the
pesticide,pesticide,pestlclde
context,context,context
will,will,will
surely,surely,surely
serve,serve,serve
as,as,as
precedent,precedent,precedent
for,for,for
epas,epas,epas
regulatlon,regulation,regulatlon
of,of,of
ocpsf,ocpsf,ocpsf
plants,plants,plants
in,in,in
the,the,the
litigation,litigation,litigation
cma,cma,cma
will,will,will
be,be,be
working,working,worklng
closely,closely,closely
mem,with,mm
other,other,other
affected,affected,affected
ndustry,industry,ndustry
groups,groups,groups
and,and,and
companles,companies,companles
to,to,to
coordlnate,coordinate,coordlnate
efforts,efforts,efforts
and,and,and
m,to,m
the,the,the
extent,extent,extent
posslble,possible,posslble
present,present,present
a,a,a
unlted,united,unlted
ndustry,industry,ndustry
posltlon,position,posltlon
on,on,on
the,the,the
mportant,important,mportant
issues,issues,lssues
m,to,m
be,be,be
briefed,briefed,brlefed
groundwater,groundwater,groundwater
includes,includes,includes
safe,safe,safe
drinking,drinking,drlnklng
water,water,water
acm,act,acm
congresslonal,congressional,congresslonal
developments,developments,developments
and,and,and
response,response,response
jsafe,jsafe,jsafe
drinking,drinking,drlnklng
water,water,water
drinking,drinking,drlnklng
water,water,water
act,act,act
reauthorization,reauthorization,reauthorlzatlon
that,that,that
would,would,would
significantly,significantly,slgnlflcantly
strengthen,strengthen,strengthen
the,the,the
federal,federal,federal
law,law,law
that,that,that
protects,protects,protects
the,the,the
quallty,quality,quallty
of,of,of
drinking,drinking,drlnklng
water,water,water
sponsored,sponsored,sponsored
by,by,by
senator,senator,senator
dave,dave,dave
durenberger,durenberger,durenberger
time,rmn,mime
on,on,on
june,june,june
the,the,the
house,house,house
by,by,by
edward,edward,edward
r,r,r
madlgan,madigan,madlgan
rilly,ril,rilly
both,both,both
must,bills,mus
would,would,would
set,set,set
deadllnes,deadlines,deadllnes
for,for,for
the,the,the
environmental,environmental,envlronmental
protectlon,protection,protectlon
agency,agency,agency
to,to,to
regulate,regulate,regulate
drinking,drinking,drlnklng
water,water,water
contamlnants,contaminants,contamlnants
requlre,require,requlre
monltorlng,monitoring,monltorlng
for,for,for
unregulated,unregulated,unregulated
contamlnants,contaminants,contamlnants
and,and,and
establlsh,establish,establlsh
a,a,a
demonstration,demonstration,demonstratlon
program,program,program
for,for,for
plannlng,planning,plannlng
to,to,to
protect,protect,protect
aquifers,aquifers,aqulfers
that,that,that
are,are,are
the,the,the
sole,sole,sole
or,or,or
principal,principal,prlnclpal
source,source,source
of,of,of
a,a,a
communltys,communitys,communltys
drinking,drinking,drlnklng
water,water,water
after,after,after
the,the,the
early,early,early
actlon,action,actlon
the,the,the
house,house,house
and,and,and
senate,senate,senate
conference,conference,conference
was,was,was
delayed,delayed,delayed
repeatedly,repeatedly,repeatedly
because,because,because
staff,staff,staff
and,and,and
members,members,members
were,were,were
busy,busy,busy
with,with,hlth
superfund,superfund,superfund
clean,clean,clean
water,water,water
and,and,and
other,other,other
issues,issues,lssues
staffers,staffers,staffers
remaln,remain,remaln
optlmlstlc,optimistic,optlmlstlc
that,that,that
differences,differences,dlfferences
over,over,over
page,page,page
is,is,is
cma,cma,cma
standardsetting,standardsetting,standardisettlng
groundwater,groundwater,groundwater
judlclal,judicial,judlclal
revlew,review,revlew
and,and,and
fundlng,funding,fundlng
provlslons,provisions,provlslons
will,will,will
be,be,be
resolved,resolved,resolved
the,the,the
house,house,house
sub,bill,mu
would,would,would
requlre,require,requlre
states,states,states
to,to,to
develop,develop,develop
and,and,and
adopt,adopt,adopt
plans,plans,plans
to,to,to
protect,protect,protect
all,all,all
present,present,present
and,and,and
potentlal,potential,potentlal
underground,underground,underground
sources,sources,sources
of,of,of
drinking,drinking,drlnklng
water,water,water
also,also,also
the,the,the
house,house,house
sub,bill,mu
has,has,has
significantly,significantly,slgnlflcantly
lower,lower,lower
authorization,authorization,authorlzatlon
levels,levels,levels
epa,epa,epa
objects,objects,objects
to,to,to
most,most,most
of,of,of
the,the,the
many,main,maln
provlslons,provisions,provlslons
of,of,of
both,both,both
must,bills,mus
argulng,arguing,argulng
they,they,they
would,would,would
lessen,lessen,lessen
the,the,the
agencys,agencys,agencys
dlscretlon,discretion,dlscretlon
and,and,and
are,are,are
unnecessary,unnecessary,unnecessary
cma,cma,cma
has,has,has
supported,supported,supported
the,the,the
senate,senate,senate
cma,bill,mu
over,over,over
the,the,the
house,house,house
verslon,version,verslon
on,on,on
three,three,three
issues,issues,lssues
standard,standard,standard
settlng,setting,settlng
no,no,no
comprehensive,comprehensive,comprehenslve
groundwater,groundwater,groundwater
protectlon,protection,protectlon
program,program,program
and,and,and
the,the,the
senate,senate,senate
crltlcal,critical,crltlcal
aquifer,aquifer,aqulfer
demonstration,demonstration,demonstratlon
program,program,program
nstead,instead,nstead
of,of,of
the,the,the
house,house,house
sole,sole,sole
source,source,source
groundwater,groundwater,groundwater
the,the,the
ntroductlon,introduction,ntroductlon
of,of,of
cma,his,ms
groundwater,groundwater,groundwater
protectlon,protection,protectlon
may,bill,mu
early,early,early
n,in,n
senators,senators,senators
george,george,george
mltchell,mitchell,mltchell
drug,dme,drum
and,and,and
max,max,max
baucus,baucus,baucus
drug,dmt,drum
ntroduced,introduced,ntroduced
thelr,their,thelr
groundwater,groundwater,groundwater
protectlon,protection,protectlon
cma,bill,mm
on,on,on
november,november,november
s,s,s
prlmarlly,primarily,prlmarlly
m,to,m
begln,begin,begln
the,the,the
discussions,discussions,dlscusslons
n,in,n
the,the,the
groundwater,groundwater,groundwater
debate,debate,debate
this,this,th
cma,bill,mu
would,would,would
requlre,require,requlre
states,states,states
to,to,to
have,have,have
thelr,their,thelr
own,own,own
groundwater,groundwater,groundwater
protectlon,protection,protectlon
programs,programs,programs
and,and,and
m,to,m
establlsh,establish,establlsh
groundwater,groundwater,groundwater
quallty,quality,quallty
standards,standards,standards
with,with,hlth
asslstance,assistance,asslstance
from,from,from
the,the,the
federal,federal,federal
mitchellbaucus,mitchellbaucus,mltchellbaucus
cma,bill,mm
the,the,the
natlonal,national,natlonal
groundwater,groundwater,groundwater
pollcy,policy,pollcy
forum,forum,forum
led,led,led
by,by,by
gov,gov,gov
bruce,bruce,bruce
babbltt,babbitt,babbltt
of,of,of
recommendations,recommendations,recommendatlons
together,together,together
with,with,hlth
senator,senator,senator
mitchells,mitchells,mltchells
and,and,and
senator,senator,senator
durenbergers,durenbergers,durenbergers
must,bills,mus
hill,will,hill
llkely,likely,llkely
serve,serve,serve
as,as,as
the,the,the
initial,initial,initial
focal,focal,focal
point,point,polnt
for,for,for
the,the,the
completlng,completing,completlng
an,an,an
analysls,analysis,analysls
of,of,of
the,the,the
forums,forums,forums
proposal,proposal,proposal
regulatory,regulatory,regulatory
developments,developments,developments
and,and,and
response,response,response
epa,epa,epa
health,health,health
advlsorles,advisories,advlsorles
comments,comments,comments
the,the,the
emcs,emcs,emcs
groundwater,groundwater,groundwater
management,management,management
task,task,task
group,group,group
submltted,submitted,submltted
comments,comments,comments
to,to,to
epa,epa,epa
on,on,on
the,the,the
agencys,agencys,agencys
generic,generic,generlc
approach,approach,approach
to,to,to
health,health,health
advlsorles,advisories,advlsorles
and,and,and
detalled,detailed,detalled
comments,comments,comments
on,on,on
chemicalspecific,chemicalspecific,chemcakspemnc
health,health,health
advlsorles,advisories,advlsorles
cmas,cmas,cmas
comments,comments,comments
dented,identified,dented
concerns,concerns,concerns
and,and,and
deficiencies,deficiencies,deflclencles
with,with,hlth
several,several,several
assumptlons,assumptions,assumptlons
ncluslon,inclusion,ncluslon
of,of,of
some,some,some
data,data,data
and,and,and
specific,specific,speclflc
health,health,health
advlsorles,advisories,advlsorles
language,language,language
the,the,the
flnal,final,flnal
health,health,health
advlsorles,advisories,advlsorles
will,will,will
be,be,be
used,used,used
n,in,n
develop,developing,developmg
drinking,drinking,drlnklng
water,water,water
crlterla,criteria,crlterla
that,that,that
will,will,will
be,be,be
used,used,used
n,in,n
developlng,developing,developlng
state,state,state
drinking,drinking,drlnklng
water,water,water
standards,standards,standards
pollcy,policy,pollcy
development,development,development
analytlcal,analytical,analytlcal
and,and,and
program,program,program
activities,activities,actlvltles
recommended,recommended,recommended
maxlmum,maximum,maxlmum
contamlnant,contaminant,contamlnant
levels,levels,levels
litigation,litigation,litigation
the,the,the
emc,emc,emc
publlshed,published,publlshed
recommended,recommended,recommended
maxlmum,maximum,maxlmum
contamlnant,contaminant,contamlnant
levels,levels,levels
may,rmcl,mam
for,for,for
several,several,several
page,page,page
 , , 
cma,cma,cma
substances,substances,substances
epa,epa,epa
has,has,has
set,set,set
the,the,the
rmcl,rmcl,rmcl
at,at,at
zero,zero,zero
these,these,these
cma,limits,mm
are,are,are
mportant,important,mportant
healthbased,healthbased,healthibased
standards,standards,standards
that,that,that
will,will,will
serve,serve,serve
as,as,as
precedents,precedents,precedents
for,for,for
regulatlon,regulation,regulatlon
of,of,of
many,many,many
chemicals,chemicals,chemlcals
used,used,used
or,or,or
manufactured,manufactured,manufactured
by,by,by
member,member,member
companles,companies,companles
the,the,the
emcs,emcs,emcs
groundwater,groundwater,groundwater
management,management,management
task,task,task
group,group,group
has,has,has
dented,identified,dented
several,several,several
serlous,serious,serlous
technical,technical,technlcal
flaws,flaws,flaws
n,in,n
epas,epas,epas
standard,standard,standard
settlng,setting,settlng
methodology,methodology,methodology
and,and,and
in,in,in
the,the,the
agencys,agencys,agencys
interpretation,interpretation,ntezpretatlon
and,and,and
use,use,use
of,of,of
scientific,scientific,sclentlflc
information,information,nformatlon
thlgatlon,litigation,thlgatlon
and,and,and
related,related,related
legal,legal,legal
activities,activities,actlvltles
safe,safe,safe
drinking,drinking,drlnklng
water,water,water
act,act,act
rmcl,rmcl,rmcl
litigation,litigation,litigation
on,on,on
november,november,november
epa,epa,epa
promulgated,promulgated,promulgated
flnal,final,flnal
recommended,recommended,recommended
maxlmum,maximum,maxlmum
contalnment,containment,contalnment
levels,levels,levels
rmcl,rmcls,rmcl
under,under,under
the,the,the
safe,safe,safe
drinking,drinking,drlnklng
water,water,water
act,act,act
for,for,for
eight,eight,elght
volatlle,volatile,volatlle
synthetic,synthetic,synthetlc
organic,organic,organlc
chemical,chemicals,chemlcals
vocs,vocs,vocsy
these,these,these
chemicals,chemicals,chemlcals
are,are,are
benzene,benzene,benzene
vinyl,vinyl,vinyl
chlorlde,chloride,chlorlde
trlchlorethylene,trichlorethylene,trlchlorethylene
ethylene,ethylene,ethylene
dlchlorlde,dichloride,dlchlorlde
carbon,carbon,carbon
tetrachlorlde,tetrachloride,tetrachlorlde
vlnylldene,vinylidene,vlnylldene
chlorlde,chloride,chlorlde
methyl,methyl,methyl
chloroform,chloroform,chlorofom
and,and,and
pdichlorbenzene,pdichlorbenzene,pidlchlorbenzene
whlle,while,whlle
the,the,the
rmcls,rmcls,rmcls
are,are,are
technlcally,technically,technlcally
only,only,only
chemlcal,chemical,chemlcal
ndustry,industry,ndustry
prlmarlly,primarily,prlmarlly
because,because,because
they,they,they
are,are,are
often,often,often
used,used,used
as,as,as
the,the,the
standards,standards,standards
of,of,of
acceptable,acceptable,acceptable
groundwater,groundwater,groundwater
quallty,quality,quallty
n,in,n
superfund,superfund,superfund
cleanups,cleanups,cleanups
rcra,rcra,rcra
permittlng,permitting,permittlng
declslons,decisions,declslons
and,and,and
state,state,state
groundwater,groundwater,groundwater
management,management,management
programs,programs,programs
in,in,in
settlng,setting,settlng
the,the,the
eight,eight,elght
voc,voc,vac
rmclsepa,rmclsepa,rmclsepa
followed,followed,followed
a,a,a
strategy,strategy,strategy
which,which,whlch
resulted,resulted,resulted
n,in,n
the,the,the
rmcls,rmcls,rmcls
for,for,for
epa,five,elva
vdc,vocs,vdcs
being,being,bemg
set,set,set
at,at,at
zero,zero,zero
on,on,on
the,the,the
basls,basis,basls
of,of,of
finding,finding,finding
of,of,of
probably,probably,probably
these,these,these
vocs,vocs,vdcs
because,because,because
of,of,of
these,these,these
issues,issues,issues
and,and,and
the,the,the
mportance,importance,mportance
of,of,of
the,the,the
rmcls,rmcls,rmcls
cma,cma,cma
has,has,has
declded,decided,declded
to,to,to
partlclpate,participate,partlclpate
n,in,n
lltlgatlon,litigation,lltlgatlon
challenglng,challenging,challenglng
epas,epas,epas
declslons,decisions,declslons
be,be,be
involved,involved,nvolved
n,in,n
the,the,the
case,case,case
communications,communications,communlcatlons
groundwater,groundwater,groundwater
management,management,management
commlttee,committee,commlttee
to,to,to
prepare,prepare,prepare
an,an,an
information,information,nformatlon
brochure,brochure,brochure
on,on,on
groundwater,groundwater,groundwater
for,for,for
use,use,use
at,at,at
the,the,the
state,state,state
level,level,level
regulatlon,regulation,regulatlon
of,of,of
chemicals,chemicals,chemlcals
tsca,tsca,tsca
and,and,and
related,related,related
regulatory,regulatory,regulatory
developments,developments,developments
and,and,and
response,response,response
response,response,response
to,to,to
tsca,tsca,tsca
sectlon,section,sectlon
generic,generic,generlc
testlng,testing,testlng
issues,issues,lssues
posltlons,positions,posltlons
on,on,on
two,two,two
generic,generic,generlc
testlng,testing,testlng
issues,issues,lssues
were,were,were
developed,developed,developed
by,by,by
the,the,the
hazard,hazard,hazard
assessment,assessment,assessment
task,task,task
group,group,group
met,with,mm
the,the,the
intent,intent,ntent
that,that,that
the,the,the
posltlons,positions,posltlons
be,be,be
used,used,used
n,in,n
cma,cma,cma
discussions,discussions,dlscusslons
cma,with,mm
epa,epa,epa
or,or,or
as,as,as
sam,cma,am
posltlons,positions,posltlons
on,on,on
proposed,proposed,proposed
rules,rules,rules
or,or,or
leglslatlve,legislative,leglslatlve
issues,issues,lssues
related,related,related
to,to,to
tests,tests,tests
issue,issuet,issue
use,use,use
of,of,of
tsca,tsca,tsca
sectlon,section,sectlon
m,to,m
requlre,require,requlre
the,the,the
testlng,testing,testlng
of,of,of
substances,substances,substances
used,used,used
as,as,as
nert,inert,nert
pestlelde,pesticide,pestlelde
ingredients,ingredients,lngredlents
posltlon,position,posltlon
the,the,the
task,task,task
group,group,group
concluded,concluded,concluded
that,that,that
epa,epa,epa
cannot,cannot,cannot
justify,justify,justlfy
page,page,page
 , , 
cma,cma,cma
sectlon,section,sectlon
test,test,test
rules,rules,rules
solely,solely,solely
on,on,on
the,the,the
basls,basis,basls
of,of,of
use,use,use
of,of,of
a,a,a
chemlcal,chemical,chemlcal
substance,substance,substance
as,as,as
a,a,a
pesticide,pesticide,pestlclde
nert,inert,nert
a,a,a
chemlcal,chemical,chemlcal
substance,substance,substance
would,would,would
be,be,be
subsequent,subsequent,subsequent
to,to,to
this,this,th
cma,cma,cm
posltlon,position,posltlon
was,was,was
approved,approved,approved
by,by,by
the,the,the
health,health,health
and,and,and
safety,safety,safety
commlttee,committee,commlttee
at,at,at
thelr,their,thelr
november,november,november
meetlng,meeting,meetlng
issue,issue,issue
use,use,use
of,of,of
tsca,tsca,tsca
sectlon,section,sectlon
to,to,to
requlre,require,requlre
monltorlng,monitoring,monltorlng
for,for,for
the,the,the
presence,presence,presence
of,of,of
chemlcal,chemical,chemlcal
substances,substances,substances
posltlon,position,posltlon
epa,epa,epa
does,does,does
not,not,not
have,have,have
the,the,the
authorlty,authority,authorlty
under,under,under
sectlon,section,sectlon
to,to,to
llmlted,limited,llmlted
m,to,m
testlng,testing,testlng
of,of,of
the,the,the
health,health,health
and,and,and
environmental,environmental,envlronmental
effects,effects,effects
of,of,of
chemlcal,chemical,chemlcal
substances,substances,substances
and,and,and
mixtures,mixtures,mlxtures
recognizing,recognizing,recognlzlng
however,however,however
that,that,that
rellable,reliable,rellable
human,human,human
and,and,and
environmental,environmental,envlronmental
exposure,exposure,exposure
data,data,data
may,may,may
be,be,be
necessary,necessary,necessary
for,for,for
a,a,a
sound,sound,sound
assessment,assessment,assessment
of,of,of
rlsks,risks,rlsks
presented,presented,presented
by,by,by
a,a,a
chemlcal,chemical,chemlcal
cma,cma,cma
hill,will,hill
as,as,as
a,a,a
matter,matter,matter
of,of,of
pollcy,policy,pollcy
work,work,work
cma,with,mm
epa,epa,epa
to,to,to
to,to,to
develop,develop,develop
monltorlng,monitoring,monltorlng
and,and,and
approved,approved,approved
by,by,by
the,the,the
health,health,health
and,and,and
safety,safety,safety
conmlttee,conmittee,conmlttee
at,at,at
thelr,their,thelr
december,december,december
meetlng,meeting,meetlng
quallty,quality,quallty
assurance,assurance,assurance
at,at,at
the,the,the
request,request,request
of,of,of
the,the,the
hazard,hazard,hazard
assessment,assessment,assessment
task,task,task
group,group,group
cma,cma,cm
cdsponsored,cosponsored,cdsponsored
a,a,a
conference,conference,conference
n,in,n
november,november,november
with,with,hlth
aihc,aihc,aihc
n,in,n
ralelgh,raleigh,ralelgh
north,north,north
carollna,carolina,carollna
entltled,entitled,entltled
managlng,managing,managlng
conduct,conduct,conduct
and,and,and
data,data,data
quallty,quality,quallty
of,of,of
toxlcology,toxicology,toxlcology
studles,studies,studles
the,the,the
conference,conference,conference
was,was,was
a,a,a
joint,joint,jolnt
industrygovernment,industrygovernment,ndustryigovernment
sponsored,sponsored,sponsored
venture,venture,venture
and,and,and
establlshed,established,establlshed
a,a,a
dlalogue,dialogue,dlalogue
between,between,between
toxlcology,toxicology,toxlcology
testlng,testing,testlng
groups,groups,groups
n,in,n
government,government,government
and,and,and
ndustry,industry,ndustry
quallty,quality,quallty
assurance,assurance,assurance
programs,programs,programs
and,and,and
glp,glp,glp
issues,issues,lssues
were,were,were
discussed,discussed,dlscussed
proceedlngs,proceedings,proceedlngs
will,will,will
be,be,be
forthcomlng,forthcoming,forthcomlng
n,in,n
comprehensive,comprehensive,comprehenslve
reportlng,reporting,reportlng
on,on,on
december,december,december
cma,cma,cm
lled,filed,lled
comments,comments,comments
on,on,on
the,the,the
second,second,second
draft,draft,draft
of,of,of
the,the,the
form,form,form
developed,developed,developed
for,for,for
the,the,the
comprehensive,comprehensive,comprehenslve
assessment,assessment,assessment
nfomatlon,information,nfomatlon
rule,rule,rule
although,although,although
the,the,the
form,form,form
was,was,was
a,a,a
great,great,great
unprovement,improvement,unprovement
over,over,over
the,the,the
the,the,the
collectlon,collection,collectlon
and,and,and
management,management,management
of,of,of
data,data,data
before,before,before
unplementlng,implementing,unplementlng
this,this,thls
broad,broad,broad
reportlng,reporting,reportlng
rule,rule,rule
aim,cma,am
will,will,will
meet,meet,meet
cma,with,mm
the,the,the
agency,agency,agency
as,as,as
the,the,the
proposed,proposed,proposed
rule,rule,rule
enters,enters,enters
agency,agency,agency
revlew,review,revlew
n,in,n
february,february,february
new,new,new
chemlcal,chemical,chemlcal
followup,followup,followup
the,the,the
conservatlon,conservation,conservatlon
foundatlons,foundations,foundatlons
toxic,toxic,toxlc
epa,epa,epa
mplement,implement,mplement
a,a,a
new,new,new
approach,approach,approach
to,to,to
following,following,followlng
the,the,the
commerclal,commercial,commerclal
development,development,development
of,of,of
new,new,new
chemicals,chemicals,chemlcals
the,the,the
procedure,procedure,procedure
recommended,recommended,recommended
by,by,by
the,the,the
dlalogue,dialogue,dlalogue
group,group,group
would,would,would
manufacture,manufacture,manufacture
or,or,or
use,use,use
that,that,that
occur,occur,occur
after,after,after
a,a,a
new,new,new
chemlcal,chemical,chemlcal
has,has,has
been,been,been
through,through,through
agency,agency,agency
revlew,review,revlew
of,of,of
the,the,the
premanufacture,premanufacture,premanufacture
notlce,notice,notlce
and,and,and
then,then,then
manufactured,manufactured,manufactured
for,for,for
commerclal,commercial,commerclal
purposes,purposes,purposes
cma,cma,cm
and,and,and
other,other,other
members,members,members
of,of,of
the,the,the
dlalogue,dialogue,dlalogue
group,group,group
will,will,will
meet,meet,meet
with,with,hlth
epa,epa,epa
n,in,n
january,january,january
to,to,to
discuss,discuss,dlscuss
the,the,the
proposal,proposal,proposal
page,page,page
 , , 
cma,cma,cma
epas,epas,epas
methods,methods,methods
for,for,for
assessmg,assessing,assessmg
dccupatlonal,occupational,dccupatlonal
exposure,exposure,exposure
the,the,the
health,health,health
and,and,and
safety,safety,safety
commlttees,committees,commlttees
exposure,exposure,exposure
assessment,assessment,assessment
task,task,task
group,group,group
revlewed,reviewed,revlewed
and,and,and
crlthued,critiqued,crlthued
epas,epas,epas
methods,methods,methods
for,for,for
assesslng,assessing,assesslng
occupatlonal,occupational,occupatlonal
exposure,exposure,exposure
to,to,to
chemicals,chemicals,chemlcals
the,the,the
exposure,exposure,exposure
assessment,assessment,assessment
task,task,task
group,group,group
proposed,proposed,proposed
modifications,modifications,modlflcatlons
to,to,to
dlsperslon,dispersion,dlsperslon
assessments,assessments,assessments
particularly,particularly,partlcularly
n,in,n
partlcle,particle,partlcle
aerodynamics,aerodynamics,aerodynamlcs
m,to,m
improve,improve,mprove
the,the,the
accuracy,accuracy,accuracy
of,of,of
epas,epas,epas
assessments,assessments,assessments
evaluatlon,evaluation,evaluatlon
of,of,of
exposure,exposure,exposure
assessment,assessment,assessment
methods,methods,methods
the,the,the
exposure,exposure,exposure
assessment,assessment,assessment
task,task,task
group,group,group
has,has,has
begun,begun,begun
an,an,an
evaluatlon,evaluation,evaluatlon
of,of,of
exposure,exposure,exposure
assessment,assessment,assessment
methods,methods,methods
used,used,used
by,by,by
government,government,government
and,and,and
ndustry,industry,ndustry
the,the,the
project,project,project
will,will,will
detemlne,determine,detemlne
the,the,the
valldlty,validity,valldlty
and,and,and
approprlate,appropriate,approprlate
uses,uses,uses
of,of,of
the,the,the
assessment,assessment,assessment
methods,methods,methods
and,and,and
hill,will,hill
improve,improve,mprove
the,the,the
accuracy,accuracy,accuracy
of,of,of
exposure,exposure,exposure
assessments,assessments,assessments
done,done,done
as,as,as
a,a,a
part,part,part
of,of,of
the,the,the
regulatory,regulatory,regulatory
process,process,process
the,the,the
evaluatlon,evaluation,evaluatlon
will,will,will
also,also,also
hlghllght,highlight,hlghllght
crltlcal,critical,crltlcal
data,data,data
gaps,gaps,gaps
and,and,and
assumptlons,assumptions,assumptlons
these,these,these
can,can,can
then,then,then
be,be,be
targeted,targeted,targeted
as,as,as
high,high,hlgh
priority,priority,priority
research,research,research
areas,areas,areas
the,the,the
evaluatlon,evaluation,evaluatlon
of,of,of
assumptlons,assumptions,assumptlons
n,in,n
the,the,the
exposure,exposure,exposure
assessments,assessments,assessments
that,that,that
form,form,form
the,the,the
formation,foundation,foundatlon
of,of,of
many,many,many
regulatlons,regulations,regulatlons
food,food,food
and,and,and
drug,drug,drug
administration,administration,admlnlstratlon
synhosmm,synosium,synhosmm
the,the,the
health,health,health
and,and,and
safety,safety,safety
commlttees,committees,commlttees
risk,risk,rlsk
assessment,assessment,assessment
task,task,task
group,group,group
provlded,provided,provlded
scientific,scientific,sclentlflc
nfomatlon,information,nfomatlon
m,to,m
the,the,the
food,food,food
and,and,and
drug,drug,drug
administration,administrations,admlnlstratlons
symposium,symposium,symposlum
on,on,on
interspecles,interspecies,interspecles
extrapolatlon,extrapolation,extrapolatlon
of,of,of
carcinogenicity,carcinogenicity,carclnogenlclty
data,data,data
the,the,the
symposium,symposium,symposlum
identified,identified,identified
scientific,scientific,sclentlflc
advances,advances,advances
n,in,n
extrapolatlng,extrapolating,extrapolatlng
laboratory,laboratory,laboratory
experiments,experiments,experlments
to,to,to
human,human,human
experlence,experience,experlence
nfomatlon,information,nfomatlon
provlded,provided,provlded
by,by,by
the,the,the
risk,risk,rlsk
assessment,assessment,assessment
task,task,task
group,group,group
ncluded,included,ncluded
qualltatlve,qualitative,qualltatlve
extrapolatlon,extrapolation,extrapolatlon
between,between,between
specles,species,specles
factors,factors,factors
that,that,that
contrlbute,contribute,contrlbute
m,to,m
differences,differences,dlfferences
n,in,n
response,response,response
between,between,between
specles,species,specles
approaches,approaches,approaches
that,that,that
have,have,have
been,been,been
used,used,used
n,in,n
the,the,the
past,past,past
and,and,and
potentlally,potentially,potentlally
productive,productive,productlve
areas,areas,areas
for,for,for
future,future,future
research,research,research
health,health,health
and,and,and
safety,safety,safety
reportlng,reporting,reportlng
on,on,on
november,november,november
cma,cma,cm
submltted,submitted,submltted
health,health,health
and,and,and
safety,safety,safety
data,data,data
under,under,under
sectlon,section,sectlon
may,d,may
of,of,of
tsca,tsca,tsca
cma,cma,cma
agreed,agreed,agreed
that,that,that
there,there,there
are,are,are
circumstances,circumstances,clrcumstances
that,that,that
hill,will,hill
justify,justify,justlfy
extendlng,extending,extendlng
the,the,the
perlod,period,perlod
